Source,Round,Number,Question,Answer
2020 TAILS,1,1,"In one work by this author, Anselmo is killed by shrapnel when a bridge explodes. That work was based on this author’s own experiences fighting in the Spanish Civil War. In another work by this author, “the great DiMaggio” is repeatedly praised by Santiago, a (*) fisherman who catches an enormous marlin. For ten points, name this American adventurer, who is the author of For Whom the Bell Tolls and The Old Man and the Sea.",Ernest Hemingway [or Ernest Miller Hemingway]
2020 TAILS,1,2,"In 2014, McDonald’s tried to make broccoli flavored like this substance to increase healthy eating. Xylitol (ZAI-luh-taal) is often used as a sugar substitute in this substance. Humans cannot digest this substance, although contrary to popular belief it will not remain in your intestines (*) indefinitely. Brands that produce this substance include Big Red, Orbit, and Extra. For ten points, name this often pink substance which is chewed to blow bubbles.",chewing gum [or bubble gum]
2020 TAILS,1,3,"This deity, who was tricked into revealing his true form and killing the princess Semele, saved the infant Dionysus by sewing him into his thigh. This deity trapped the monster Typhon under Mount Etna. Rhea gave (*) Cronos a rock to swallow instead of this god, leading to his overthrow of the Titans. Lightning bolts were thrown by, for ten points, what husband of Hera and chief god of Olympus?",Zeus [accept Jupiter]
2020 TAILS,1,4,"A molecule consisting of three atoms of this element is regenerated in the Chapman cycle, and that molecule’s concentration is often measured in Dobson units. That molecule containing this element, which absorbs UV radiation, is ozone. (*) Combustion depletes this element in the air, which is why fires consume this element very quickly. For ten points, name this element whose gas makes up about 21% of the atmosphere, which has chemical symbol O.",oxygen
2020 TAILS,1,5,"In 1888, this country’s Princess Imperial emancipated all of its slaves with the Golden Law. This country allied with Uruguay and Argentina during the War of the Triple Alliance. This country’s monarchs were given the honorific Dom, and included (*) Pedro I and II. For ten points, name this South American country with cities like São Paulo and Rio de Janeiro, which contains most of the Amazon rainforest.",Brazil [or Brasil or Federative Republic of Brazil or República Federativa do Brasil or Empire of Brazil or Império do Brasil]
2020 TAILS,1,6,"A character in this story rides past a tree haunted by Major Andre on his horse Gunpowder after having his marriage proposal rejected at a harvest party. Katrina van Tassel, the daughter of a wealthy farmer, ends up marrying Brom (*) Bones over a local school teacher in this story. Ichabod Crane disappears after an encounter with a headless horseman in, for ten points, what story by Washington Irving?",“The Legend of Sleepy Hollow”
2020 TAILS,1,7,"The Z-scheme is a part of this process in which the oxygen evolution reaction produces electrons that are donated to P680. The Calvin cycle in this process uses RuBP (r-u-b-p) and RuBisCO to convert carbon dioxide and other compounds into (*) glucose, and is called the light-independent phase of this process. For ten points, name this process which occurs in chloroplasts where light is converted into energy for plants.",photosynthesis [accept “light-independent reactions” before mention]
2020 TAILS,1,8,"The most expensive painting ever sold, Salvator Mundi, is by this artist and depicts Jesus holding a clear orb. In another painting by this artist, Judas clutches a bag on the table as Jesus announces that he has been betrayed. This artist’s most famous painting, which is the centerpiece of the (*) Louvre museum, depicts a woman with an enigmatic smile. For ten points, name this artist of The Last Supper and the Mona Lisa.",Leonardo di ser Piero da Vinci
2020 TAILS,1,9,"The costly ransom of one king in this war caused the peasants of one country to rise in the Jacquerie Rebellion. Edward the Black Prince fought in this war before dying of dysentery, and he won the battles of Poitiers (pwaht-YAY) and Crecy against King (*) John II of France in this war. For ten points, what war fought between England and France in the 14th and 15th centuries was actually 16 years longer than its name implies?",Hundred Years’ War
2020 TAILS,1,10,"This former Alameda County district attorney controversially prosecuted six adults for their childrens’ school truancy. In 2016, this politician defeated Loretta Sanchez in an election for a position she shared with Dianne Feinstein. This politician repeatedly stated “Mr. (*) Vice President, I’m speaking” to Mike Pence in a debate. For ten points, name this former California Senator, who was elected Vice President in 2020.",Kamala Harris [or Kamala Devi Harris]
2020 TAILS,1,11,"This state is home to the Ten Thousand Islands, a collection of islets off the coast of this state's largest national park. Big Cypress National Reserve lies north of that national park in this state, which is named a “River of Grass” for being a giant swamp fed by Lake (*) Okeechobee. Crocodiles, manatees, and mangrove trees are among the distinctive features of, for ten points, what state’s Everglades National Park?",Florida
2020 TAILS,1,12,"The theorem named for this operation says that, for two integers a and b, there are two other integers q and r such that a = bq + r, with r being less than b. The set of rational numbers is defined by performing this operation on (*) integers. Performing this operation with any number on zero is undefined. The quotient is the result of, for ten points, what operation, which is the inverse of multiplication?",division
