Source,Round,Number,Label,Question,Answer
2020 ERIS,1,1,L,"You are the narrator of the Simon and Garfunkel song ""America"". Answer some questions about your travels, for 10 points each:",
2020 ERIS,1,1,A,It took you four days to hitchhike to Pittsburgh from this state's city of Saginaw. This state's other cities include Detroit and Grand Rapids.,Michigan
2020 ERIS,1,1,B,"You boarded a Greyhound and traveled east on I-76 through this state through its Allegheny Mountains. This state’s capital lies on the Susquehanna River, which flows through its eastern part.",Pennsylvania
2020 ERIS,1,1,C,"You're counting the cars on this state's turnpike as you realize that they've all come to look for America. Along the way, you might have driven through this state's cities of Elizabeth and Newark.",New Jersey
2020 ERIS,1,2,L,This artist depicted Saint Stephen and Saint Augustine entombing Don Gonzalo Ruiz in his painting The Burial of the Count of Orgaz. For 10 points each:,
2020 ERIS,1,2,A,"Name this artist who also painted a famous landscape of his hometown, titled View of Toledo. He is commonly known by a name indicating his country of birth.",El Greco [or Domenikos Theotokópoulos]
2020 ERIS,1,2,B,"Although he was born in Greece, El Greco lived in this country. Diego Velasquez was a court painter of this country's king Philip IV, who ruled both it and its neighboring country, Portugal.",Spain [or España]
2020 ERIS,1,2,C,This is the most famous painting by Velasquez. It shows the young Spanish princess Margaret Theresa in Velasquez's studio surrounded by an entourage including two maids as well as Velasquez himself painting on a huge easel.,"Las Meninas [or The Ladies in Waiting, or The Maids of Honor]"
2020 ERIS,1,3,L,This empire's expansion into Eastern Europe culminated with its unsuccessful 16th-century siege of Vienna. For 10 points each:,
2020 ERIS,1,3,A,Name this Islamic empire ruled by sultans such as Suleiman the Magnificent. It conquered Constantinople from the Byzantines in 1453 and was dissolved after World War I.,Ottoman Empire
2020 ERIS,1,3,B,"This modern-day Balkan country staged a decades-long revolt against Ottoman rule in the 15th century led by Skanderbeg. In the 20th century, it was ruled by the dictator Enver Hoxha (HOE-juh).",Albania [or Shqipëria]
2020 ERIS,1,3,C,"Shortly before its dissolution, the Ottoman Empire perpetrated a genocide against this ethnic group, in which around 1.5 million people were killed. This is the majority ethnic group in a modern-day country that borders Turkey to its east.",Armenians [or Hayer]
2020 ERIS,1,4,L,"Czesław Miłosz (CHESS-woff MEE-woash) wrote that ""those who expected lightning and thunder / are disappointed"" in a poem he wrote titled ""A Song on [this event]"". For 10 points each:",
2020 ERIS,1,4,A,"Describe this event which one poem predicted would occur ""not with a bang but a whimper"". Another poet wrote that ""some say [this event will occur] in fire / some say in ice"".",the end of the world [accept any alternate phrasings like the world will end or reasonable equivalents like the apocalypse or armageddon or eschaton]
2020 ERIS,1,4,B,"This American poet wrote ""Fire and Ice"". In another poem, he wrote that ""I have promises to keep / and miles to go before I sleep / and miles to go before I sleep"".",Robert [Lee] Frost
2020 ERIS,1,4,C,"This other poet wrote ""this is the way the world ends / this is the way the world ends / this is the way the world ends / not with a bang but a whimper"" in The Hollow Men. He also opened his poem The Waste Land by declaring that ""April is the cruelest month"".",T. S. Eliot [or Thomas Stearns Eliot]
2020 ERIS,1,5,L,These clouds often exhibit a characteristic anvil shape caused by wind shear in the upper atmosphere. For 10 points each:,
2020 ERIS,1,5,A,"Name these large, tall clouds which can produce extreme weather such as intense thunderstorms. Their name comes from the Latin for ""heaped rainstorm"".",cumulonimbus clouds [do NOT accept or prompt on “cumulus” or “nimbus”]
2020 ERIS,1,5,B,"In August 2020, the National Weather Service issued its first ever warning for a tornado produced by a pyrocumulonimbus cloud, a special kind of thundercloud created by the warm air given off by these events.",wildfires [accept answers like forest fires]
2020 ERIS,1,5,C,"The fire tornado occurred in this state's Lassen County. This state has been repeatedly afflicted by wildfires in recent years, especially around its Bay Area and its capital of Sacramento.",California
2020 ERIS,1,6,L,"This myth system's storm god, Susano-o, once threw a flayed horse at his sister, leading to her hiding in a cave. For 10 points each:",
