Source,Round,Number,Question,Answer
2020 ERIS,1,1,"Eris is the most massive of the five recognized ones of these objects, of which Ceres is the only one closer to the sun than Uranus. Unlike a class of larger related objects, these things have not cleared their orbits. In 2006, the IAU officially reclassified (*) Pluto as one of these objects. For 10 points, identify these solar system objects named for the fact that they are smaller than planets.",dwarf planets [prompt on planets until mentioned; prompt on Kuiper belt objects]
2020 ERIS,1,2,"This man was killed when his rotting ship fell on him after he broke his vow to love his wife forever. Orpheus's lyre-playing saved this man's ship from the Sirens, and he sowed dragon's teeth which sprouted into warriors and plowed a field with fire-breathing (*) bulls with the help of his wife Medea. For 10 points, name this Greek hero who led the Argonauts in the quest for the Golden Fleece.",Jason [or Iásōn]
2020 ERIS,1,3,"Betty Parris and Abigail Williams both claimed to be afflicted by these people, setting off a panic which hunted these people. The West Indian slave Tituba, after herself being accused of being one of them, accused (*) Sarah Good and Sarah Osborne during that 1692 panic. For 10 points, a series of ""trials"" were held in Salem, Massachusetts targeting what purported evil magic users?",witches [accept anything indicating people who perform magic or sorcery or witchcraft or demonic possession or similarly bad supernatural stuff]
2020 ERIS,1,4,"This religion believes in a figure called the Saoshyant, or ""one who brings benefit"". Members of this faith traditionally dispose of their dead on towers of silence and worship at fire temples. The Gathas are a set of hymns comprising part of this religion's sacred text, the (*) Avesta. Ahriman is opposed to Ahura Mazda, the chief god of, for 10 points, what Iranian religion founded by Zarathustra?",Zoroastrianism [or Behdin; accept Mazdaism or Mazdayasna until “Mazda” is read and prompt afterwards; accept Zarathustrism or Zarathustrianism until “Zarathustra” is read and prompt afterwards]
2020 ERIS,1,5,"The protagonist of this novel beats one of his wives during the Week of Peace, resulting in a fine. After accidentally killing Ikemefuna, the protagonist of this novel is banished from (*) Umuofia for seven years. This novel's protagonist, Okonkwo, commits suicide by hanging to avoid being tried by the British colonists. For 10 points, name this Chinua Achebe novel about pre-colonial Nigerian life.",Things Fall Apart
2020 ERIS,1,6,"The Buffon's needle experiment is one way to empirically estimate the value of this number. This is the number of radians in 180 degrees. The ratio between the (*) circumference and diameter of a circle is equal to this number. For 10 points, what number is multiplied by the radius squared to give a circle’s area and is approximately equal to 3.14?",pi
2020 ERIS,1,7,"One version of this food native to the island of Sardinia is called Casu Marzu and contains live maggots. Most varieties of this food are produced with the enzyme rennet, although a type common in Indian cuisine, (*) paneer, is not. French types of this food include Camembert and Brie. Wisconsin is known for producing, for 10 points, what dairy product whose types include Swiss and cheddar?",cheese
2020 ERIS,1,8,"During this war, the Lend-Lease Act allowed the United States to provide military supplies to one side. General Anthony MacAuliffe famously declared ""Nuts!"" after being demanded to surrender at the Battle of the (*) Bulge in this war. Dwight D. Eisenhower oversaw a US offensive in this war that included the D-Day landings. For 10 points, in what war did the US fight against Nazi Germany?",World War II [or the Second World War or other obvious equivalents]
2020 ERIS,1,9,"This state's Cadillac Mountain is the highest point on an ocean island in the continental US. This is the closest U.S. state to Africa, and its Aroostook County was the subject of a bloodless ""war"" with Canada. This state's Mount Desert Island contains (*) Acadia National Park, the only national park in New England. The ""Pine Tree State"" is, for 10 points, what easternmost state of the lower 48?",Maine
2020 ERIS,1,10,"In 1919, one of this city's baseball teams was accused of throwing the World Series. In 2017, this city's NFL team surprised pundits when it used the 2nd overall draft pick on Mitch Trubisky. This city's NBA team won (*) 6 championships in the 1990s with players like Michael Jordan. A 108-year World Series drought was broken in 2017 by the Cubs, a baseball team in, for 10 points, what Illinois city?","Chicago, Illinois"
2020 ERIS,1,11,"This group’s membership was significantly expanded by the addition of a group known as the ""A8"". This group, which was preceded by the EEC and ECSC, was established via the 1992 Maastricht Treaty. In a move nicknamed (*) ""Brexit"", the United Kingdom voted to leave this organization in a referendum. The Euro is the official currency of, for 10 points, what organization of European states?",the European Union [or the EU; accept answers in any of the other 23 official EU languages]
2020 ERIS,1,12,"The main characters of one of this author's books live in the government-run camp of Weedpatch. In another of this man's books, Curley’s wife is killed by a character who wants to ""live off the fatta the lan"". One book by this author sees the (*) Joad family move to California. George and Lennie were created by, for 10 points, what American author who wrote Of Mice and Men and The Grapes of Wrath?",John Steinbeck
2020 ERIS,1,13,"This thinker proposed that humans were formed from double-people to explain the origins of love. This author of Symposium analogized philosophy to realizing that shadows on a wall are not reality. This man described an ideal city-state where philosopher (*) kings rule and the “Allegory of the Cave” in The Republic. For 10 points, name this Ancient Greek philosopher, a student of Socrates.",Plato [or Plátōn]
2020 ERIS,1,14,"A popular myth says that this composer was killed out of jealousy by Antonio Salieri. Franz Süssmayr completed this man's unfinished Requiem, and his 41st symphony is nicknamed ""Jupiter"". The Queen of the Night appears in this man's opera The (*) Magic Flute. Eine Kleine Nachtmusik (EYE-nuh KLY-nuh NAHKT-music), or ""A Little Night Music"", was written by, for 10 points, what Austrian child prodigy composer?",Wolfgang Amadeus Mozart
2020 ERIS,1,15,"One of these chemicals which includes antimony pentafluoride is called the ""magic"" one. According to the Arrhenius (ah-REE-nee-us) definition, these substances dissociate into H+ ions, and another definition says that they're electron pair (*) acceptors. Commonly-used examples of these compounds include the nitric and sulfuric types. For 10 points, name these compounds with pH less than 7, contrasted with bases.",acids
2020 ERIS,1,16,"The tweet announcing this event quickly became the most-liked tweet in history. The retrospective A Tribute for a King was produced shortly after this event, which occurred before any public acknowledgement that the person involved had (*) colon cancer. ABC aired the film Black Panther without commercials following, for 10 points, what event in which the lead actor of that film passed away?",Chadwick Boseman's death [accept any equivalents]
2020 ERIS,1,17,"Okazaki fragments help reconstruct the lagging strands of this substance after it's ""unzipped"" by helicase during its replication. Adenine and thymine are one of the pairs of complementary (*) nucleotides that make up this molecule. Chromosomes contain, for 10 points, what biomolecule shaped like a double helix, which contains genetic information?",DNA [or deoxyribonucleic acid]
